Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Операционные системы и оболочки. Учебное пособие;Малахов Сергей Валерьевич;Лань: Компьютеры и программное обеспечение;1357;0;0;На складе
Офисные пакеты Мой Офис, Р7-Офис. Практикум. Учебное пособие;Бурняшов Борис Анатольевич;Лань: Компьютеры и программное обеспечение;2005;0;0;На складе
Офисные пакеты Мой Офис, Р7-Офис. Практикум. Учебное пособие;Бурняшов Борис Анатольевич;Лань: Компьютеры и программное обеспечение;2005;0;0;На складе
Программирование. Лабораторный практикум. Учебное пособие;Рацеев Сергей Михайлович;Лань: Компьютеры и программное обеспечение;1352;0;0;На складе
Программирование. Лабораторный практикум. Учебное пособие;Рацеев Сергей Михайлович;Лань: Компьютеры и программное обеспечение;1175;0;0;На складе
Программирование. Основы Python для инженеров. Учебное пособие для вузов;Никитина Татьяна Павловна, Королев Леонид Владимирович;Лань: Компьютеры и программное обеспечение;1592;0;0;Ограничено
Программирование. Основы Python. Учебное пособие для СПО;Никитина Татьяна Павловна, Королев Леонид Владимирович;Лань: Компьютеры и программное обеспечение;1386;0;0;Ограничено
C++ для IT-профессий. Учебник;Дирк Харди;Фолиант: Учебная литература;2189;0;0;На складе
Java для IT-профессий. Учебник;Дирк Харди;Фолиант: Учебная литература;3676;0;0;На складе
Аппаратное обеспечение компьютера. Учебник;Дур Кристиан и др.;Фолиант: Учебная литература;4421;0;0;Ограничено
Базы данных. Учебник;Дэлер Эльмар и др.;Фолиант: Учебная литература;3673;0;0;Ограничено
Производительность систем;Грегг Брендан;Питер: Для профессионалов;5375;6891;22;На складе
Создание микросервисов;Ньюмен Сэм;Питер: Бестселлеры O`Reilly;3050;3910;22;На складе
Windows 10. Самый простой и понятный самоучитель;Шитов Виктор Николаевич;Эксмо-Пресс: Компьютер - это просто;369;505;27;На складе
R в действии;Кабаков Роберт И.;ДМК-Пресс;3350;5583;40;На складе
