Название книги;Автор;Издательство;Цена со скидкой;Цена без скидки;Размер скидки, %;Наличие на складе
Как быть ленивым пользователем Excel. Введение в финансовое моделирование;Бастик Лиам;Бомбора: Excel для всех;844;1156;27;На складе
Agile, который работает. Как правильно трансформировать бизнес во времена радикальных перемен;Ригби Даррелл и др.;Бомбора: Проектный менеджмент;796;1090;27;На складе
Python без проблем. Решаем реальные задачи и пишем полезный код;Зингаро Даниэль;Питер: Библиотека программиста;1618;2074;22;На складе
Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5;Никсон Робин;Питер: Бестселлеры O`Reilly;2823;3619;22;На складе
Эргономика пользовательских интерфейсов в информационных системах. Учебное пособие;Попов Алексей Анатольевич;Кнорус: Среднее профессиональное образование;1464;2440;40;Ограничено
Компьютерный букварь для любимых чайников;Левина Любовь Тимофеевна;АСТ: Всё для любимых чайников;442;605;27;На складе
Управление проектами с нуля;Хорин Грег;Питер: Библиотека программиста;2397;3073;22;На складе
Внутреннее устройство Linux;Уорд Брайан;Питер: Для профессионалов;1979;2537;22;На складе
Кибердзюцу. Кибербезопасность для современных ниндзя;Маккарти Бен;Питер: Библиотека программиста;1845;2365;22;На складе
Black Hat Go. Программирование для хакеров и пентестеров;Коттманн Дэн и др.;Питер: Библиотека программиста;2511;3219;22;На складе
Алгоритмы неформально. Инструкция для начинающих питонистов;Брэдфорд Такфилд;Питер: Библиотека программиста;1417;1817;22;На складе
Разработка интерфейсов. Паттерны проектирования;Тидвелл Дженифер и др.;Питер: Бестселлеры O`Reilly;2766;3546;22;На складе
Simintech. Моделирование в электроприводе;Калачёв Юрий Николаевич;ДМК-Пресс;1340;2233;40;На складе
Компьютерные системы. Архитектура и программирование;Брайант Рэндал Э., О`Халларон Дэвид;ДМК-Пресс;4187;6979;40;На складе
Социальная инженерия и этичный хакинг на практике;Грей Джо;ДМК-Пресс;1676;2793;40;На складе
Масштабируемые данные. Лучшие шаблоны высоконагруженных архитектур;Стренгхольт Питхейн;Питер: Бестселлеры O`Reilly;2688;3446;22;На складе
Spring быстро;Спилкэ Лауренциу;Питер;2836;3636;22;На складе
Kali Linux. Библия пентестера;Хаваджа Гас;Питер: Для профессионалов;4241;5437;22;На складе
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие;Гайдук Анатолий Романович и др.;Лань: Учебники для вузов. Специальная литература;4888;0;0;На складе
Эконометрическое моделирование уровня научно-технологического прогресса в национальной экономике;Бывшев Виктор Алексеевич;Прометей;444;807;45;На складе
Системы электронного документооборота. Учебное пособие;Алтухова Наталья Фаридовна и др.;Кнорус: Бакалавриат;1097;1828;40;Ограничено
Компьютерные технологии в машиностроении. Практикум. Учебник для СПО;Копылов Юрий Романович;Лань: Компьютеры и программное обеспечение;2696;0;0;Ограничено
Информационные устройства и системы в робототехнике и мехатронике. Учебное пособие для вузов;Сырямкин Владимир Иванович;Лань: Компьютеры и программное обеспечение;5771;0;0;Ограничено
Scala. Профессиональное программирование;Одерски Мартин и др.;Питер: Библиотека программиста;5659;7255;22;Ограничено
Информатика. Учебное пособие;Прохорский Георгий Владимирович;Кнорус: Среднее профессиональное образование;1219;2032;40;Ограничено
Все об Agile. Искусство создания эффективной команды;Обри Клод;Бомбора: Библиотека цифровой трансформации;844;1156;27;На складе
Бизнес-информатика. Введение в профессию. Учебное пособие;Горбенко Андрей Олегович;Кнорус: Бакалавриат;1097;1828;40;На складе
Информационные технологии в архитектуре и строительстве. Практикум. Учебное пособие;Прохорский Георгий Владимирович;Кнорус;1708;2846;40;Ограничено
Методы и средства проектирования информационных систем и технологий. Учебник + еПриложение;Ткаченко Сергей Николаевич;Кнорус;1219;2032;40;На складе
Язык программирования С++;Страуструп Бьерн;Бином;4575;0;0;На складе
Бизнес-анализ. 25 (не)классических методов. Все не так, как кажется;Сюняева Диана, Резанова Виктория;Питер;1404;1800;22;На складе
Справочник IT-терминов;Новосадова Мария Викторовна;Инфра-Инженерия;350;583;40;На складе
Техническое и программное обеспечение вычислительных машин и систем. Учебное пособие;Конюхова Оксана Владимировна и др.;Инфра-Инженерия;1071;1785;40;На складе
Информационная аналитика. Теория, методология, технологии. Учебник для вузов;Ремарчук Валерий Николаевич;Лань: Информационная безопасность;3462;0;0;Ограничено
Интернет вещей для начинающих. Визуальное программирование микроконтроллеров семейства ESP8266;Шамин Алексей Алексеевич;Инфра-Инженерия;820;1366;40;Ограничено
Работа с таблицами на примере Microsoft Excel. Учебное пособие для СПО;Калмыкова Светлана Владимировна и др.;Лань: Экономика,финансы,бизнес;1443;0;0;Ограничено
Моделирование систем управления. Учебник для вузов;Семенов Анатолий Дмитриевич, Юрков Николай Кондратьевич;Лань: Компьютеры и программное обеспечение;4943;0;0;Ограничено
Проектирование инженерных систем на основе BIM-модели в Autodesk Revit MEP. Учебное пособие;Суханова Инна Ивановна и др.;Лань: Техника;2404;0;0;На складе
Информационные технологии в профессиональной деятельности. Учебное пособие для СПО;Зубова Елена Дмитриевна;Лань: Компьютеры и программное обеспечение;3710;0;0;На складе
Информационные технологии в профессиональной деятельности. Учебное пособие для вузов;Зубова Елена Дмитриевна;Лань: Компьютеры и программное обеспечение;3710;0;0;На складе
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов;Трушков Александр Сергеевич;Лань: Компьютеры и программное обеспечение;4122;0;0;На складе
Python для сетевых инженеров. Автоматизация сети, программирование и DevOps;Чоу Эрик;Питер: Для профессионалов;3815;4891;22;На складе
Планшет для любимых чайников;Левина Любовь Тимофеевна;АСТ: Всё для любимых чайников;442;605;27;На складе
Kafka в действии;Скотт Дилан и др.;ДМК-Пресс;2512;4187;40;На складе
Python. К вершинам мастерства. Лаконичное и эффективное программирование;Лусиану Рамальо;ДМК-Пресс;4187;6979;40;На складе
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта;Мишра Прадипта;ДМК-Пресс;2177;3628;40;На складе
Проектирование гибких программ;Хансон Крис, Сассман Джеральд Джей;ДМК-Пресс;2512;4187;40;На складе
Имитационное моделирование. Разработка имитационных моделей средствами iWebsim и AnyLogic;Палей Александр Гилич, Поллак Галина Андреевна;Лань: Учебники для вузов. Специальная литература;3533;0;0;На складе
Смартфоны с Android для чайников;Томашевский Ден;Вильямс;1291;2152;40;На складе
Системы мобильной связи. Учебное пособие для вузов;Буснюк Николай Николаевич, Мельянец Геннадий Иванович;Лань: Компьютеры и программное обеспечение;2475;0;0;На складе
Системы мобильной связи. Учебное пособие для СПО;Буснюк Николай Николаевич, Мельянец Геннадий Иванович;Лань: Компьютеры и программное обеспечение;2475;0;0;Ограничено
Компьютерное зрение. Передовые методы и глубокое обучение;;ДМК-Пресс;4187;6979;40;На складе
Криптографические основы блокчейн-технологий;Ищукова Евгения Александровна и др.;ДМК-Пресс;1676;2793;40;На складе
Компьютер и ноутбук. Простой и понятный пошаговый самоучитель;Виннер Марина;Эксмо-Пресс: Компьютер - это просто;297;407;27;На складе
Ницше для предпринимателей. Еженедельник инноватора;Джилк Дейв, Фельд Брэд;Попурри;616;0;0;На складе
Глубокое обучение. Самый краткий и понятный курс;Келлехер Джон Д.;Бомбора: Библиотека MIT;734;1006;27;На складе
Дизайн существ и персонажей. Как создать портфолио концепт-художника;Холмс Марк Торо;Питер: Рисование для профессионалов;2688;3446;22;На складе
Элементы гейм-дизайна. Как создавать игры, от которых невозможно оторваться;Зубек Роберт;Бомбора: Мировой компьютерный бестселлер;1165;1596;27;На складе
Глубокое обучение с fastai и PyTorch. Минимум формул, минимум кода, максимум эффективности;Ховард Джереми, Сильвейн Гуггер;Питер: Бестселлеры O`Reilly;2098;2690;22;На складе
Информационная безопасность и защита информации. Учебник;Прохорова Ольга Витольдовна;Лань: Учебники для вузов. Специальная литература;1570;0;0;На складе
Web-программирование на Python. Учебное пособие;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;3504;0;0;На складе
Web-программирование на Python. СПО;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;3504;0;0;Ограничено
Компьютерная 2d-графика. Программирование в MathCAD;Никулин Евгений Александрович;Лань: Компьютеры и программное обеспечение;10304;0;0;На складе
Компьютерная 2d-графика. Программирование в MathCAD. СПО;Никулин Евгений Александрович;Лань: Компьютеры и программное обеспечение;10304;0;0;На складе
Нормативное обеспечение в сфере информационных технологий и систем;Череватова Татьяна Федоровна;Лань: Компьютеры и программное обеспечение;1959;0;0;Ограничено
Теория графов. Лабораторные работы. Учебное пособие;Игнатьев Александр Владимирович;Лань: Математика;1443;0;0;На складе
Инженерная компьютерная графика. Учебник. СПО;Ивлев Алексей Николаевич, Терновская Ольга Владимировна;Лань: Черчение и инженерная графика;4122;0;0;На складе
Python. Чистый код для продолжающих;Свейгарт Эл;Питер: Библиотека программиста;2263;2901;22;На складе
Как проектировать программы;Фелляйзен Маттиас и др.;ДМК-Пресс;3350;5583;40;На складе
Power BI. Моделирование на экспертном уровне;Бахши Сохейл;ДМК-Пресс;2848;4746;40;На складе
Введение в программирование и структуры данных;Фислер Кати и др.;ДМК-Пресс;2512;4187;40;На складе
Мягкие вычисления и измерения. Том 2;Аверкин А. В. и др.;ИД Научная библиотека: Искусственный интеллект, теория изменений;1109;1848;40;На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО;Заяц Анатолий Моисеевич, Васильев Николай Павлович;Лань: Компьютеры и программное обеспечение;2318;0;0;Ограничено
Программирование в САПР. Учебное пособие;Лянг Виктор Федорович;ИНФРА-М: Высшее образование. Бакалавриат;3452;5753;40;На складе
Компьютер, ноутбук. Лучший самоучитель для всех возрастов и поколений;Виннер Марина;Эксмо-Пресс: Компьютер - это просто;350;479;27;На складе
ИИ-2041. Десять образов нашего будущего;Ли Кай-Фу;Манн, Иванов и Фербер: Технологии будущего;1638;2244;27;На складе
Графики лгут. Как стать информационно грамотным человеком в мире данных?;Кайро Альберто;Бомбора: IT бестселлер;923;1264;27;На складе
Цифровой разум. Как наука меняет человечество;Оливейра Арлиндо;Дело;895;1491;40;На складе
Информационные технологии в работе с документами. Учебник;Корнеев Игорь Константинович;Проспект;421;765;45;На складе
Excel, Word. Лучший самоучитель для всех возрастов и поколений;Леонов Василий;Эксмо-Пресс: Компьютер - это просто;329;451;27;На складе
Как договориться с роботом;Голдстауб Табита;Дискурс: Наука на досуге;480;1200;60;На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие;Васильев Николай Павлович, Заяц Анатолий Моисеевич;Лань: Учебники для вузов. Специальная литература;4052;0;0;На складе
SQL. Быстрое погружение;Шилдс Уолтер;Питер: Библиотека программиста;1270;1628;22;На складе
Spring Boot по-быстрому;Хеклер Марк;Питер: Бестселлеры O`Reilly;2397;3073;22;На складе
Веб-дизайн для недизайнеров;Осборн Трэйси;Питер: Библиотека программиста;1404;1800;22;На складе
Основы цифрового рисунка в Photoshop. Гайд для начинающих;Ловадина Маркус и др.;Питер: Рисование для профессионалов;3686;4726;22;На складе
Введение в векторную графику. Учебное пособие для вузов;Поляков Егор Юрьевич;Лань: Компьютеры и программное обеспечение;8244;0;0;Ограничено
Введение в векторную графику. Учебное пособие для СПО;Поляков Егор Юрьевич;Лань: Компьютеры и программное обеспечение;8244;0;0;На складе
Полный бред! Скептицизм в мире больших данных;Бергстром Карл, Уэст Джевин;Манн, Иванов и Фербер: Мир больших данных;1283;1758;27;На складе
Материалы и устройства наноэлектроники. Электроника после Мура;Белоус Анатолий Иванович, Солодуха Виталий Александрович;Инфра-Инженерия;2184;3640;40;На складе
Инженерия машинного обучения;Бурков Андрей;ДМК-Пресс;2177;3628;40;На складе
Оконные функции в T-SQL;Бен-Ган Ицик;ДМК-Пресс;2345;3908;40;На складе
Параллельное программирование на современном С++;Гримм Райнер;ДМК-Пресс;3350;5583;40;На складе
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI;Стейпл Дэнни;ДМК-Пресс;2177;3628;40;На складе
Практический хакинг интернета вещей;Чанцис Фотиос и др.;ДМК-Пресс;3016;5026;40;На складе
Spring в действии;Уоллс Крейг;ДМК-Пресс;3350;5583;40;На складе
Практическое введение в решение дифференциальных уравнений в Python;Ершов Николай Михайлович;ДМК-Пресс;1676;2793;40;На складе
Медицинская информатика. Учебник;Омельченко Виталий Петрович, Демидова Александра Александровна;ГЭОТАР-Медиа;1435;2391;40;Ограничено
Вычислительная машина и мозг;Нейман Джон фон;АСТ: Эксклюзивная классика;224;307;27;На складе
Сеть 2030;Росляков Александр Владимирович;Бибком;2662;4436;40;На складе
Open Source. Разработка программ с открытым исходным кодом;Эгбал Надья;Питер: Библиотека программиста;2405;3083;22;На складе
Теоретический минимум по Computer Science. Сети, криптография и data science;Феррейра Фило Владстон, Пиктет Мото;Питер: Библиотека программиста;1701;2181;22;На складе
Активное выявление угроз с Elastic Stack. Построение надежного стека безопасности;Пиз Эндрю;ДМК-Пресс;2512;4187;40;На складе
Программирование в Roblox. Сделать игру - проще простого;Брамбо Зандер;ДМК-Пресс;1676;2793;40;На складе
Управление цветом. Работа с цветом от камеры к дисплею - и до печати;Шарма Абхай;ДМК-Пресс;3016;5026;40;На складе
Алгоритмы. Самый краткий и понятный курс;Луридас Панос;Бомбора: Библиотека MIT;607;832;27;На складе
Компонентная база инфокоммуникационных и интеллектуальных систем. Учебное пособие;Игнатов Александр Николаевич, Полянская Анна Валерьевна;Инфра-Инженерия;1660;2767;40;На складе
Масштабируемый рефакторинг. Возвращаем контроль над кодом;Лемер Мод;Питер: Бестселлеры O`Reilly;1631;2091;22;На складе
Знания и убеждения в интеллектуальном анализе данных;Вагин Вадим Николаевич;Физматлит;1248;2080;40;На складе
Мобильный, смартфон. Лучший самоучитель для всех возрастов и поколений;Леонов Василий;Эксмо-Пресс: Компьютер - это просто;329;451;27;На складе
Регрессия. Теория и практика. С примерами на R и Stan;Гельман Эндрю и др.;ДМК-Пресс;3350;5583;40;На складе
Мобильный, смартфон. Лучший самоучитель для всех возрастов и поколений;Леонов Василий;Эксмо-Пресс: Компьютер - это просто;329;451;27;На складе
Регрессия. Теория и практика. С примерами на R и Stan;Гельман Эндрю и др.;ДМК-Пресс;3350;5583;40;На складе
NFT;Гройс Борис и др.;Masters Digital;2579;3968;35;На складе
Многопоточный JavaScript;Хантер Томас II, Инглиш Брайан;ДМК-Пресс;2177;3628;40;На складе
Беспроводные сенсорные сети в лесном хозяйстве. Построение, применение и исследование. уч. пособие;Заяц Анатолий Моисеевич, Хабаров Сергей Петрович;Лань: Компьютеры и программное обеспечение;1966;0;0;На складе
Беспроводные сенсорные сети в лесном хозяйстве. Построение, применение и исследование. Уч. пособие;Заяц Анатолий Моисеевич, Хабаров Сергей Петрович;Лань: Компьютеры и программное обеспечение;1966;0;0;На складе
Проектирование инженерных систем на основе BIM-модели в Autodesk Revit MEP. Учебное пособие;Суханова Инна Ивановна и др.;Лань: Техника;2404;0;0;На складе
Теория и практика анализа показателей качества обслуживания сигнальных сообщений в гибридных сетях;Хатунцев Антон Борисович, Обухов Андрей Дмитриевич;Лань: Железнодорожный транспорт;1749;0;0;На складе
Теория и практика анализа показателей качества обслуживания сигнальных сообщений в гибридных сетях;Хатунцев Антон Борисович, Обухов Андрей Дмитриевич;Лань: Железнодорожный транспорт;1966;0;0;На складе
JavaScript. Визуальные редакторы. Учебное пособие для СПО;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;2968;0;0;На складе
JavaScript. Визуальные редакторы. Учебное пособие для вузов;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;2621;0;0;Ограничено
Технологии искусственного интеллекта в ULS-системах. Учебное пособие для вузов;Волосова Александра Владимировна;Лань: Компьютеры и программное обеспечение;6993;0;0;На складе
Бизнес-планирование с использованием программы Project Expert (полный курс). Учебное пособие;Чистов Дмитрий Владимирович, Алиев Вагиф Судеиф Оглы;ИНФРА-М: Высшее образование. Бакалавриат;2662;4436;40;На складе
Разработка информационного контента (по отраслям). Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М: Среднее профессиональное образование;1274;2124;40;На складе
Машинное обучение с участием человека;Монарх (Манро) Роберт;ДМК-Пресс;3184;5306;40;На складе
Бизнес-разведка 2.0;Доронин Александр Иванович;ДМК-Пресс;2512;4187;40;На складе
Моделирование законов распределений случайных величин и процессов в задачах эконометрики;Прокопчина Светлана Васильевна;ИД Научная библиотека: Искусственный интеллект, теория изменений;665;1109;40;На складе
Мягкие вычисления и измерения. Том 1. Теоретические основы и методы. Монография;Прокопчина Светлана Васильевна и др.;ИД Научная библиотека: Искусственный интеллект, теория изменений;887;1479;40;На складе
Медицинская информатика в общественном здоровье и организации здравоохранения;Медик Валерий Алексеевич и др.;ГЭОТАР-Медиа: Национальное Руководство;16229;27048;40;На складе
Языки программирования и методы трансляции. Учебное пособие для вузов;Свердлов Сергей Залманович;Лань: Компьютеры и программное обеспечение;4256;0;0;На складе
Компьютерные сети. Учебник;Хаузер Бернхард;Фолиант: Учебная литература;4076;0;0;На складе
Анатомия для 3D-художников. Курс для разработчиков персонажей компьютерной графики;;Бомбора: Учимся рисовать на компьютере и планшете;1772;2427;27;На складе
Информационные технологии в профессиональной деятельности. Учебник;Омельченко Виталий Петрович, Демидова Александра Александровна;ГЭОТАР-Медиа;1298;2164;40;На складе
Машинное обучение с помощью Python. Руководство для специалистов по работе с данными;Гвидо Сара, Мюллер Андреас;Вильямс;3227;5378;40;На складе
Алгоритмы Data Science и их практическая реализация на Python;Протодьяконов Андрей Владимирович и др.;Инфра-Инженерия;1791;2985;40;На складе
Обработка отраслевой информации. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М: Среднее профессиональное образование;1242;2070;40;На складе
Криптография и распределенные реестры. Учебное пособие для вузов;Гисин Владимир Борисович;Прометей;961;1748;45;На складе
Графический анализ на языке R. Учебно-методическое пособие;Лукьянов Павел Борисович;Прометей;666;1210;45;На складе
Head First. Изучаем C#;Стиллмен Эндрю, Грин Дженнифер;Питер: Head First (O'Reilly);2908;3728;22;На складе
Искусственный интеллект. Современный подход. Том 3. Обучение, восприятие и действие;Рассел Стюарт, Норвиг Питер;Диалектика;4840;8066;40;Ограничено
Linux. Книга рецептов;Шредер Карла;Питер: Бестселлеры O`Reilly;3772;4836;22;На складе
Танец с кубитами. Как на самом деле работают квантовые вычисления;Сатор Роберт Т.;Питер: Для профессионалов;2836;3636;22;На складе
Организация сетевого администрирования. Сетевые операционные системы, серверы, службы и протоколы;Тенгайкин Евгений Александрович;Лань: Компьютеры и программное обеспечение;4122;0;0;Ограничено
Основы теории информационно-измерительных и управляющих систем;Новиков Николай Юрьевич;Физматлит;1387;2311;40;Ограничено
Речевая коммуникация в сетевых структурах. Между глобальным и локальным;;ИНИОН РАН;524;874;40;На складе
Основы алгоритмизации и программирования на Visual C++. Учебное пособие;Гуриков Сергей Ростиславович;ИНФРА-М: Высшее образование. Бакалавриат;3210;5350;40;На складе
Мемы. Научный взгляд на феномен поп-культуры, захвативший мир;Кузнецов Иван Сергеевич;Бомбора: БукТех. Книги про технологии;586;803;27;На складе
Приручи данные с помощью Power Query в Excel и Power BI;Пульс Кен, Эскобар Мигель;ДМК-Пресс;3518;5863;40;На складе
Шаблоны и практика глубокого обучения;Ферлитш Эндрю;ДМК-Пресс;3184;5306;40;На складе
Информационный менеджмент. Теория и практика. Учебник;Арсеньев Юрий Николаевич, Давыдова Татьяна Юрьевна;Кнорус: Бакалавриат и магистратура;1464;2440;40;Ограничено
Алгоритмы и программы. Язык С++. Учебное пособие для СП;Конова Елена Александровна, Поллак Галина Андреевна;Лань: Учебники для вузов. Специальная литература;2298;0;0;На складе
Вероятностное программирование. Учебное пособие;Колбин Вячеслав Викторович;Лань: Математика;5085;0;0;Ограничено
Нанокомпьютерная терминология. Вопросы теории;Милуд Мохамед Рашид;ИНФРА-М: Научная мысль;1426;2377;40;На складе
Применение информационных систем в экономике. Учебное пособие;Карминский Александр Маркович, Черников Борис Васильевич;Форум: Среднее профессиональное образование;1968;3280;40;На складе
Дизайн персонажей-животных. Концепт-арт для комиксов, видеоигр и анимации;;Питер: Компьютерная графика и мультимедиа;2688;3446;22;На складе
Проектирование автоматизированных систем управления. Учебное пособие для вузов;Тугов Виталий Валерьевич и др.;Лань: Компьютеры и программное обеспечение;2696;0;0;На складе
Средства специализированных телекоммуникационных шин и сетей систем управления;Червинский Владимир Владимирович и др.;Инфра-Инженерия;809;1348;40;На складе
Компьютерные сети;Урбанович Павел Павлович, Романенко Дмитрий Михайлович;Инфра-Инженерия;1442;2403;40;На складе
Численные методы в Mathcad. Учебное пособие;Язев Владимир Александрович, Лукьяненко Ирина Сергеевна;Лань: Физика;1078;0;0;Ограничено
Биологическое и компьютерное зрение;Крейман Гэбриел;ДМК-Пресс;2512;4187;40;На складе
Оптические распределенные системы в телекоммуникациях;Елистратова Ирина Борисовна и др.;Лань: Техника;1975;0;0;Ограничено
Эксплуатация объектов сетевого администрирования. Безопасность функционирования информационных;Тенгайкин Евгений Александрович;Лань: Компьютеры и программное обеспечение;1529;0;0;На складе
Программирование на языке Си. Учебное пособие для вузов;Рацеев Сергей Михайлович;Лань: Компьютеры и программное обеспечение;4151;0;0;На складе
Стохастическое моделирование. Учебник для вузов;Макшанов Андрей Владимирович, Мусаев Александр Азерович;Лань: Компьютеры и программное обеспечение;2404;0;0;На складе
Создание трехмерных моделей для аддитивного производства на основе полигонального моделирования;Суворов Александр Петрович;Лань: Компьютеры и программное обеспечение;2968;0;0;Ограничено
Создание трехмерных моделей для аддитивного производства на основе полигонального моделирования. СПО;Суворов Александр Петрович;Лань: Компьютеры и программное обеспечение;2404;0;0;На складе
Информационные технологии в юридической деятельности + еПриложение. (Бакалавриат). Практикум;Королев Владимир Тимофеевич;Юстиция: Бакалавриат;1219;2032;40;На складе
LaTeX. Руководство для начинающих;Коттовиц Штефан;ДМК-Пресс;2009;3349;40;На складе
Astra Linux. Руководство по национальной операционной системе и совместимым офисным программам;Вовк Елена Тимофеевна;Манн, Иванов и Фербер;1359;1862;27;Ограничено
Искусство неизменяемой архитектуры: теория и практика управления данными в распределенных системах;Перри Майкл Л.;ДМК-Пресс;2680;4466;40;На складе
Компьютерная графика. Рейтрейсинг и растеризация;Гамбетта Гэбриел;Питер: Библиотека программиста;1633;2093;22;На складе
Профессиональный бенчмарк. Искусство измерения производительности;Акиньшин Андрей;Питер: Библиотека программиста;2836;3636;22;На складе
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования;Троелсен Эндрю, Джепикс Филипп;Диалектика;6451;10752;40;На складе
Нечеткие модели анализа данных и принятия решений. Учебное пособие;Броневич Андрей Георгиевич, Лепский Александр Евгеньевич;Издательский Дом ВШЭ;368;613;40;На складе
Этичный хакинг. Практическое руководство по взлому;Грэм Дэниел Г.;Питер: Библиотека программиста;2255;2891;22;На складе
Основы построения экономических моделей в Excel. Учебник для СПО;Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна;Лань: Компьютеры и программное обеспечение;2404;0;0;Ограничено
Прикладные задачи спектрального анализа сигналов. Учебник для вузов;Васильев Владимир Георгиевич, Куженькин Сергей Николаевич;Лань: Компьютеры и программное обеспечение;3714;0;0;На складе
Программирование на языке Си.Учебное пособие для СПО;Рацеев Сергей Михайлович;Лань: Компьютеры и программное обеспечение;3932;0;0;Ограничено
Компьютерное моделирование и проектирование РЭА. Системный подход. Часть 1;Трухин Михаил Павлович;Лань: Компьютеры и программное обеспечение;4806;0;0;На складе
JavaScript.Как писать программы.Учебное пособие для вузов;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;2842;0;0;Ограничено
JavaScript.Как писать программы Учебное пособие для СПО;Янцев Валерий Викторович;Лань: Компьютеры и программное обеспечение;2842;0;0;На складе
Теоретическая механика и сопротивление материалов. Компьютерный практикум. Учебное пособие для СПО;Котляров Александр Александрович;Лань: Техника;3497;0;0;На складе
Теоретическая механика и сопротивление материалов. Компьютерный практикум. Учебное пособие для вузов;Котляров Александр Александрович;Лань: Техника;3956;0;0;Ограничено
Менеджмент информационного контента. Учебное пособие;Шитов Виктор Николаевич;ИНФРА-М: Среднее профессиональное образование;1371;2285;40;На складе
Методы защиты информации. Пароли, скрытие, шифрование;Никифоров Сергей Николаевич;Лань: Учебники для вузов. Специальная литература;1402;0;0;Ограничено
Практическое пособие. Blender 3.0 для любителей и профессионалов. Моделинг, анимация, VFX;Hess Felicia;Солон-пресс: Детская развивающая литература;1173;1955;40;На складе
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов;Хабаров Сергей Петрович, Шилкина Мария Львовна;Лань: Компьютеры и программное обеспечение;3041;0;0;На складе
Svelte и Sapper в действии;Волкманн Марк;Питер: Для профессионалов;4197;5381;22;На складе
Хочу в геймдев! Основы игровой разработки для начинающих;Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич;Бомбора: Российский компьютерный бестселлер;1013;1388;27;На складе
